Pet Name,Pet Birthday,Report AddedOn,Report EditOn,Report Temp,Report Reason,Report History,Report Examination,Report DiagnosticImaging,Report Lab,Report Diagnosis,Report Treatment,Report Plan,Report Prescription,Report Advice,Report Assessment,Report vitals,Report Note,Report Weight,Report WeightUnit,VisitExam ExaminationId,VisitExam ReportsId,VisitExam AddedOn,VisitExam Mentation,VisitExam Posture
kenzo,2021-07-04,2024-07-04T14:47:00.000,,"T -100
    PR -  Normal
    HR -  Normal
    RR -  Normal
    MM -  Normal",RIGHT LEG TUMOR (SMALL SIZE),,,,,,,IF THERE IS PROBLEM DUE TO TUMOR THEN ONLY WE GO FOR SURGICAL TREATMENT OTHERWISE ITS NORMAL,,,,"T -100
    PR -  Normal
    HR -  Normal
    RR -  Normal
    MM -  Normal",,8.0,Kg,11.0,11.0,2024-09-10T18:48:00.700,,
loki,2024-07-04,2024-07-04T19:03:00.000,2024-07-04T19:10:00.000,"T -
    PR -  
    HR -  
    RR -  
    MM -","near right eye bite wound and right neck wound
Bite wound",,,,,,meloxicam 0.5 ml,,"micodom
apply on affected area twice a day
melowin tab
1 tablet twice a day",,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,Kg,12.0,12.0,2024-09-10T18:48:00.700,,
puku,2021-08-17,2024-07-04T19:13:00.000,,"T -Normal
    PR -  Nomal
    HR -  Normal
    RR -  Normal
    MM -  Normal",stitch cutting,,,,,,,,,,,"T -Normal
    PR -  Nomal
    HR -  Normal
    RR -  Normal
    MM -  Normal",,13.0,Kg,13.0,13.0,2024-09-10T18:48:00.700,,
Kiyo,2024-08-06,2024-07-06T09:24:00.000,2024-07-06T10:12:00.000,"T -101.7F
    PR -  
    HR -  
    RR -  
    MM -",-vomition &Diarrhoea,"-FEEDING GOAT MILK
-VACCINATION WAS GIVEN YESTERDAY (DHPPiL)",- stomach was bloated,,"-CPV/CCV/GIA: NEGATIVE
-STOOL TEST: Fat cell",-INDIGESTION,"-NS SALINE 200 ml iv
-METRON SALINE 300 drop iv
-RANIVA 0.5 ml sc
-omitron 0.5 iv",,,-DO NOT GIVE ALBEGON FOR CERTAIN PERIOD OF TIME,,"T -101.7F
    PR -  
    HR -  
    RR -  
    MM -",,3.3,Kg,14.0,14.0,2024-09-10T18:48:00.700,,- stomach was bloated
Kiyo,2024-08-06,2024-07-06T09:24:00.000,,"T -101.7F
    PR -  
    HR -  
    RR -  
    MM -",-vomition &Diarrhoea,"-FEEDING GOAT MILK
-VACCINATION WAS GIVEN YESTERDAY (DHPPiL)",- stomach was bloated,,"-CPV/CCV/GIA: NEGATIVE
-STOOL TEST: Fat cell",-INDIGESTION,"-NS SALINE 200 ml iv
-METRON SALINE 300 drop iv
-RANIVA 0.5 ml sc",,,-DO NOT GIVE ALBEGON FOR CERTAIN PERIOD OF TIME,,"T -101.7F
    PR -  
    HR -  
    RR -  
    MM -",,3.3,Kg,15.0,15.0,2024-09-10T18:48:00.700,,- stomach was bloated
JUSTIN,2024-07-06,2024-07-06T15:08:00.000,2024-07-07T17:02:00.000,"T -
    PR -  
    HR -  
    RR -  
    MM -","polyphagia
polydysia
polyuria
scrotal swelling
abdomen distended",,,,"7th July, 2024
-TT4: 9nmol/L   (Reference interval 13-51)
-Glucose (R):80.14 mg/dl (Reference interval 76-119)
-Creatinine: 2 mg/dl
-SGPT: 255 IU/L",-Hypothyroidism,,,"7th july,2024
-levothroxine 100 mcg
5 tablet once a day at empty stomach for 7 days
-Ventriliv pet
10 ml twice a day for 20 days","7th July,2024
-Test Cortisol level ib blood to rule out hyperadrenocorticism",,"T -
    PR -  
    HR -  
    RR -  
    MM -",,47.0,Kg,16.0,16.0,2024-09-10T18:48:00.700,,
Lucy,2024-07-07,2024-07-07T18:05:00.000,2024-07-09T15:41:00.000,"T - 105.6F
    PR -  
    HR -  
    RR -  
    MM -  Pale & CRT<2 SECOND","Anorexia since 7 days
shivering
Vomition(-)
Diarrhoea(-)",-Ticks,,,-CBC/LFT/KFT/BLOOD SMEAR,,"7th July
-OTC 2 ML SC
- RANIVA 1 ML SC
-MELOX 0.6 ML SC
8th July
-OTC
9th July
-OTC",,"9th July
-Doxycycline 100 mg capsule
once capsule twiice a day for 30 days after a meal
-Rabeprazole 20 mg tablet
1 tablet once a day for 10 days at empty stomach",- Give proper rest,,"T - 105.6F
    PR -  
    HR -  
    RR -  
    MM -  Pale & CRT<2 SECOND",,12.8,Kg,17.0,17.0,2024-09-10T18:48:00.700,,
TANGO,2020-07-30,2024-07-08T15:32:00.000,2024-07-09T16:26:00.000,"T -
    PR -  
    HR -  
    RR -  
    MM -",- SKIN PROBLEM,"-FOOD HISTORY
Treat Biscuit Himalaya 10 pcs (starting meal)
Chicken meat and rice with liver (Morning and evening)
3 whole egg boil & milk (Day)
goat leg bone once or twice a month",,,"-Skin impression
-Skin cytology aspiration",-Localized Demodectic mange with bacterial infection,,,"-Simparica tablet
-Clavum/Enclave 625 mg
0ne tablet twice a day for 14 days
-Cetrizine 10 mg
one tablet twice a day for 14 days
-Myskin Lotion
Apply on affected area twice a day",-If necessary you can put E collar,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,31.4,Kg,18.0,18.0,2024-09-10T18:48:00.700,,
ROCKY,,2024-07-08T17:26:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",-No proper barking since a week,,,oesophagus obstruction?,,,"- Dex inj 1 ml IM
-Chlropheniramine inj 2ml sc
- Enrofloxacin inj 1ml IM",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,10.0,Kg,19.0,19.0,2024-09-10T18:48:00.700,,
Khusi,,2024-07-11T16:28:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",- Vomition & Diarrhoea,,,,,-HGE,"- RANITIDINE 1 ML SC
-ONDANCETRON 1 ML IM",,"- PANTAPRAZOLE DSR 40 MG
ONE CAPSULE ONCE A DAY EMPTY STOMACH FOR 10 DAYS",,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,40.0,Kg,20.0,20.0,2024-09-10T18:48:00.700,,
loki,2024-07-04,2024-07-12T17:29:00.000,2024-07-12T18:02:00.000,"T -
    PR -  
    HR -  
    RR -  
    MM -",- WOUND DRESSING,,,,,,- DIAZEPAM 0.5 + KETAMINE 0.5= 0.8 ML IM,,"-Enrofloxacin 150
one tablet once a day for 5 days
- Micodom
as usual",,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,9.0,Kg,21.0,21.0,2024-09-10T18:48:00.700,,
bhote,2024-04-13,2024-07-12T19:10:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,,,,-PARVO GASTROENTERITIS,"-RL
-METRON
CEFTRIAXONE
-OMITRON
-RANIVA",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,Kg,22.0,22.0,2024-09-10T18:48:00.700,,
KALE,,2024-07-12T19:12:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,,,,,"-METRON
-CEFTRIAXONE
-OMITRON
-RANIVA
-RL
-",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,Kg,23.0,23.0,2024-09-10T18:48:00.700,,
Kale,2016-07-13,2024-07-13T17:00:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,,,,,"-ceftriaxone inj
-raniva inj
-melox inj
-NS saline",,,,-catheter placed and prepuce was opened with the help of lignocaine,"T -
    PR -  
    HR -  
    RR -  
    MM -",,22.0,Kg,24.0,24.0,2024-09-10T18:48:00.700,,
Lyka,,2024-07-13T19:01:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",-examination of uterus for fetus,60 days gestation according to pet parents,,,,- no fetus,,,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,13.0,Kg,25.0,25.0,2024-09-10T18:48:00.700,,
Blue,2024-04-05,2024-07-14T17:42:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,,,,,,,"-vet pro mobility
200 gm a day
- canitone joint support
one tablet once a day",,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,Kg,26.0,26.0,2024-09-10T18:48:00.700,,
Punte,2024-07-16,2024-07-16T17:39:00.000,,"T -103.9F
    PR -  
    HR -  
    RR -  
    MM -","- Recumbency
-Head tremor","- washed him twice with Sunsilk shampoo
-",,,,-Tapeworm infestation,,,"-Normal saline 50 ml IV
- Raniva 0.2 ml sc
-Albegon 0.7 ml oral",,,"T -103.9F
    PR -  
    HR -  
    RR -  
    MM -",,1.1,Kg,27.0,27.0,2024-09-10T18:48:00.700,,
pinky,2013-07-18,2024-07-18T13:46:00.000,,"<p>T</p>
<p>- PR</p>
<p>- HR</p>
<p>- RR</p>
<p>- MM -</p>","<p>- skin problem</p>
<p>- mammary tumor</p>",<p>- Flea &amp; Ticks</p>,,,,,<p>- Simparica 1/4 tablet to pinky (40-60 kg)</p>,,,,"<p>-hair clipping</p>
<p>-dressing with betadine and micodem</p>","<p>T</p>
<p>- PR</p>
<p>- HR</p>
<p>- RR</p>
<p>- MM -</p>",,9.6,Kg,28.0,28.0,2024-09-10T18:48:00.700,,
Brownie,,2024-07-19T18:51:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,-,,,CPV AG test negative,,"- Normal saline
20 ml iv",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",Guarded,0.5,Kg,29.0,29.0,2024-09-10T18:48:00.700,,
cookey,,2024-07-21T17:30:00.000,2024-08-03T19:11:00.000,"T -
    PR -  
    HR -  
    RR -  
    MM -",-Skin Problem,"- Flea
-Severe Itching",-Circular patches on skin,,,,"-Dressing with betadine and Myskin
-Dexamethasone 1 ml IM",,"03 AUG 2024
-ITRACONZOLE 200 MG
ONE TABLET ONCE A DAY AFTER MEAL FOR 5 DAYS
- MYSKIN SPRAY
Apply on affected area twice a day
- prednisolone 10 mg
one tablet once a day for 5 days after meal",,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,Kg,30.0,30.0,2024-09-10T18:48:00.700,,-Circular patches on skin
prince,2019-07-25,2024-07-25T17:40:00.000,2024-07-25T18:15:00.000,"T -
    PR -  
    HR -  
    RR -  
    MM -","- anal sac impaction
- shivering
-Inappetance",- anal sac impaction,"- blood test
- stool test",,,,"- Melox 0.5 ml sc
- chloropheniramine maleate inj 2 mlc sc",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,13.0,Kg,31.0,31.0,2024-09-10T18:48:00.700,,"- blood test
- stool test"
KANCHO,2024-07-26,2024-07-26T15:42:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",-VOMITION,- ATE FERTILIZER,,,,,"-RANIVA INJ 2 ML SC
-OMITRON 2 ML IM",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,12.0,Kg,32.0,32.0,2024-09-10T18:48:00.700,,
kale,,2024-07-26T15:52:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -","- Distended Stomach
-Anorexia",-presence of ticks,,,,,,,,,- Blood withdrawl,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,Kg,33.0,33.0,2024-09-10T18:48:00.700,,
charlie,,2024-07-26T16:13:00.000,2024-07-26T16:18:00.000,"T -
    PR -  
    HR -  
    RR -  
    MM -","- Vomition
- Diarrhoea
- Anorexia",- No vaccination,,,- CPV AG TEST : Negative,,"- RL SALINE
- Pantaprazole inj
- Vitamin inj",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -","-Guarded
Chronic condition, severely dehydrated and semi comatose",2.0,Kg,34.0,34.0,2024-09-10T18:48:00.700,,
Punte,2024-07-16,2024-07-26T16:31:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,"FED 8 PEICES OF MEAT
NASAL DISCHARGE",,,-CDV AG TEST POSITIVE,,"- NS
- PANTAPRAZOLE INJ",,"- PET SPARK
10 ML MORNING AND EVENING",,,"T -
    PR -  
    HR -  
    RR -  
    MM -",- POOR,1.3,Kg,35.0,35.0,2024-09-10T18:48:00.700,,
leo,,2024-07-29T16:27:00.000,,"T -104.2F
    PR -  
    HR -  
    RR -  
    MM -","-high fever
-inappetance since 5 days","vomition (-)
diarrhoea (-)",,,"-Ecanis/anaplasma/babesia snap test
- cbc/lft/kft",,,,,,,"T -104.2F
    PR -  
    HR -  
    RR -  
    MM -",,25.4,Kg,36.0,36.0,2024-09-10T18:48:00.700,,
COOKIE,,2024-07-29T17:44:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -","- 65 DAYS OF GESTATION
- GREENISH DISCHARGE SINCE 5 DAYS",,,,,,- SURGICALLY UTERUS REMOVED,,"- CLAVUM 375 MG
ONE TABLET TWICE A DAY FOR 5 DAYS AFTER MEAL
- MELOWIN TABLET
ONE TABLET ONCE A DAY FOR 10 DAYS AFTER MEAL",,- X RAY SHOWING BEND HEAD OF FETUS,"T -
    PR -  
    HR -  
    RR -  
    MM -",,12.0,Kg,37.0,37.0,2024-09-10T18:48:00.700,,
DIAMOND,2022-07-29,2024-07-29T17:47:00.000,2024-07-30T19:35:00.000,"T -
    PR -  
    HR -  
    RR -  
    MM -",- SCROTAL WOUND AFTER NEUTER,,,,,,"-SCROTAL ABLATION 30 JULY
-ANTIBIOTIC INJ (PROCABEN INJ)
- MELOXICAM INJ",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,Kg,38.0,38.0,2024-09-10T18:48:00.700,,
LUFY,2023-08-29,2024-07-29T17:52:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -","- BLOOD IN STOOL
- VOMITION",,,,,,"- raniva 1 ml sc
- ondan 1 ml sc",,,,- Blood test advise,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,Kg,39.0,39.0,2024-09-10T18:48:00.700,,
KALE,2024-07-30,2024-07-30T14:54:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -","- OSBTRUCTION
-",- INGESTION OF BONE (GOAT),,"- X RAY IMAGING
BONE SEEN AT LOWER THORACIC REGION",,,,,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,Kg,40.0,40.0,2024-09-10T18:48:00.700,,
OOFY,2024-07-30,2024-07-30T18:12:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",- RIGHT HINDLIMB CIRCULAR PATCHES,,,,,,"- DEXAMAETHASONE INJ
3 ML IM
- MYSKIN SPRAY
APPLY ONN AFFECTED AREA TWICE A DAY
- EAR CLEANING BY EPIOPTIC",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,45.0,Kg,41.0,41.0,2024-09-10T18:48:00.700,,
MADDY,,2024-07-30T19:34:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",- HEMATOMA,,,,,,,,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",ADVISED FOR SURGERY,25.0,Kg,42.0,42.0,2024-09-10T18:48:00.700,,
LUNA,2024-08-03,2024-08-03T18:56:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,"-LACTATING SINCE 2 WEEKS
- GIVEN BIRTH TO SIX PUPPIES
-PANTING
-MEAT/RICE/MILK/BISCUIT/GRAPES",,,,,"- RL SALINE
-B COMPLEX INJ
-RANIVA INJ",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,8.0,Kg,43.0,43.0,2024-09-10T18:48:00.700,,
muna,,2024-08-03T19:02:00.000,2024-08-05T15:20:00.000,"T -
    PR -  
    HR -  
    RR -  
    MM -",,"-Discharge from eyes
-hairfall
-flea infestation
-anorexia
-teat swollen
-erythema",,,- BLOOD TEST PERFOREMD,,"03 AUG, 2024
- D5 SALINE
- RANIVA INJ
-OMITRON INJ
-CEFTRIAXONE INJ

04 AUG 2024
Same as above

05 AUG 2024
Same as above",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,8.0,Kg,44.0,44.0,2024-09-10T18:48:00.700,,
LUFY,2023-08-29,2024-08-03T19:06:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",- FRACTURE,,,,,,- bandage (Rober john bandage),,"-Melowin 2.5
one tablet per orally once a day for 10 days after meal",,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,Kg,45.0,45.0,2024-09-10T18:48:00.700,,
JOY,2023-11-05,2024-08-04T14:37:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -","- Vomition
- Diarrhoea",,,,-CBC WAS ADVISED,,,,"- METRON DF 400
ONE TABLET TWICE A DAY AFTER MEAL FOR 5 DAYS
- CLAVUM 625
ONE TABLET TWICE A DAY AFTER MEAL FOR 5 DAYS",,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,27.2,Kg,46.0,46.0,2024-09-10T18:48:00.700,,
Fucchu,2024-08-05,2024-08-04T14:58:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -","- ITCHING
- SKIN WOUND",- TICKS PRESENCE,,,,,"- DEXAMAETHASONE INJ
1 ML INTRAMUSCULAR INJECTION

- PROCABEN LA
0.5 ML SUBCUTANEOUS INJECTION",,"- SHEEN & KLEEN
WEEKLY WASH

- MY SKIN LOTION
APPLY ON AFFECTED AREA TWICE A DAY",- 07 AUG 2024,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,Kg,47.0,47.0,2024-09-10T18:48:00.700,,
JERRY,,2024-08-04T15:03:00.000,2024-08-05T15:14:00.000,"T - NORMAL
    PR -  NORMAL
    HR -  NORMAL
    RR -  NORMAL
    MM -  NORMAL",-HYPERPIGMENTATION ON CAUDAL DORSAL PART,,,,- SKIN CYTOLOGY & IMPRESSION,- CUTANEOUS HYPERPIGMENTATION,,,"- MY SKIN SPRAY
APPLY ON AFFECTED AREA TWICE A DAY",,,"T - NORMAL
    PR -  NORMAL
    HR -  NORMAL
    RR -  NORMAL
    MM -  NORMAL",,,Kg,48.0,48.0,2024-09-10T18:48:00.700,,
SILK,2022-08-09,2024-08-09T16:26:00.000,2024-09-09T15:00:00.000,"T -
    PR -  
    HR -  
    RR -  
    MM -",- SKIN PROBLEM,- REDNESS,,,,,"- HAIR CUTTING
- DRESSING WITH BETADINE AND MY SKIN SPRAY",,"-SHEEN & KLEEN SHAMPOO (bath weekly)
-MY SKIN SPRAY (Apply on affected area twice a day x cont)

21 AUGUST, 2024
1. katco spray
Apply on affected area twice a day 
Blood test (CBC)",,,"T -
    PR -  
    HR -  
    RR -  
    MM -","RECOVERED
prognosis: Good",30.0,Kg,49.0,49.0,2024-09-10T18:48:00.700,,
CoCo,2024-01-11,2024-08-11T19:38:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -","-VOMITION (+)
-DIARRHOEA (-)",,,,,,"-NS
-Ranitidine 1ml
-ondancetron 2ml",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,14.0,Kg,50.0,50.0,2024-09-10T18:48:00.700,,
Hupsi,,2024-08-13T18:11:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",-Loss of Appetite,"-Active
-Vomition (-)
- Diarrhoea (-)",,,,,"-Dexamethasone inj 1ml IM
-Raniva inj 1 ml SC",,,,- CDV AG TEST: Negative,"T -
    PR -  
    HR -  
    RR -  
    MM -",,14.0,Kg,51.0,51.0,2024-09-10T18:48:00.700,,
arlo,,2024-08-14T15:37:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",- Vomition,,,,,,"-Raniva inj
- Ondan inj",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,7.7,Kg,52.0,52.0,2024-09-10T18:48:00.700,,
LULU,2024-08-16,2024-08-16T18:06:00.000,,"T - 102.4 F
    PR -  
    HR -  
    RR -  
    MM -",- anorexia since 5 days,,,,,,"-NS Saline inj
- Raniva 1ml sc",,,,,"T - 102.4 F
    PR -  
    HR -  
    RR -  
    MM -",,10.3,Kg,53.0,53.0,2024-09-10T18:48:00.700,,
Lulu,,2024-08-18T19:47:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",Anorexia,,,,,GASTROENTERITIS,"DEXONA - 2ml
RANIVA - 2ml",,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,10.6,Kg,54.0,54.0,2024-09-10T18:48:00.700,,
Neku,,2024-08-18T20:04:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",Accidental falling case,,,,,,MELOXICAM - 3ml,,,,Neurological examination(tail pinching) - good sensation,"T -
    PR -  
    HR -  
    RR -  
    MM -",,2.0,Kg,55.0,55.0,2024-09-10T18:48:00.700,,
Kuki,,2024-08-21T15:31:00.000,2024-08-27T16:58:00.000,"T -
    PR -  
    HR -  
    RR -  
    MM -",Skin problem,,Itching,,,,"-Curadex inj
- Antibiotic inj
-Zeet inj",,"-Enrofloxacin 150 mg
Two tablet twice a day per orally for 3 days
- Katco pet spray
Apply on affected area twice a day","- follow up 24 August ,2024",,"T -
    PR -  
    HR -  
    RR -  
    MM -","Follow up call done @ 27 th August, 2024 (Dog is healing according to owner)",29.0,Kg,56.0,56.0,2024-09-10T18:48:00.700,,Itching
Bella,2023-12-23,2024-08-23T16:44:00.000,,"T -
    PR -  
    HR -  
    RR -  
    MM -",Accidental case,,,,,,Melowin tab - half tab 4 times (alternate days),,,,,"T -
    PR -  
    HR -  
    RR -  
    MM -",,,Kg,57.0,57.0,2024-09-10T18:48:00.700,,
Coco,2014-08-23,2024-08-23T16:50:00.000,,"T -96F
    PR -  
    HR -  
    RR -  
    MM -","Anorexia
recumbent stage",Presence of ticks,-presence of dehydratio,,Acute kidney failure and aneamia,,"-ns saline
OTC(7.5 mg/kg bdy wgt)
Raniva (2ml sc)
Tramadol(1ml -IV)",,,,,"T -96F
    PR -  
    HR -  
    RR -  
    MM -",,11.0,Kg,58.0,58.0,2024-09-10T18:48:00.700,,-presence of dehydratio
Tofu,2021-08-23,2024-08-23T16:56:00.000,,"T -104 F
    PR -  
    HR -  
    RR -  
    MM -","Anorexia
vomition",Breeding@ (1 AUGUST 2024),,,,Anaplasma positive,Oxy tetra cycline(7.5 mg/kg body wgt),,,,,"T -104 F
    PR -  
    HR -  
    RR -  
    MM -",,24.0,Kg,59.0,59.0,2024-09-10T18:48:00.700,,
